"Font Awesomeness Settings","Font Awesomeness Instellingen"
"Settings","Instellingen"
"Use CDN","Gebruik CDN"
"Uses the Content Delivery Network","Maakt gebruik van een Content Delivery Network"
"Use local","Gebruik lokaal"
"Uses the local skin folder for serving the files","Maakt gebruik van de lokale skin map voor het serveren van de bestanden"
"Enable","Inschakelen"
"Load by","Laden via"
"Version","Versie"
"Minified","Geminimaliseerd"
"Locally included Font sets","Lokaal bijgevoegde Font sets"
"The following iconic font sets are included within font awesomeness and their CSS can be merged","De volgende iconische font sets zijn bijgevoegd in font awesomeness welke hun CSS kan worden gecombineerd"
"Select icon sets","Selectoor icoon sets"
"Custom fontsets","Eigen fontsets"
"Add links to additional font sets","Voeg links naar aanvullende font sets bij"
"Comma separated for multiple classes","Meerdere links splitsen met een komma"
"Icon","Icoon"
"Size","Formaat"
"Fixed","Vast"
"Animate spin","Animeer draaiend"
"Flip / Rotate","Omdraaien / Roteren"
"Custom classes","Aanvullende klassen"
"Default","Standaard"
"Large","Groot"
"None","Geen"
"Included Fonts:","Bijgeleverde Fonts:"
